id,input_ad,generated_ad1,generated_ad2,count.preference_ad1,count.preference_ad2,count.preference_skip,source_input_ad,model_ad1,model_ad2,split
0,草刈り 業者業界No.1チェーン,草刈り最大手業者,業界No.1、草刈り業者チェーン,2,8,0,camera_dev_1000,human,calm7b,train
1,TRANS WORK／公式通販,公式通販ならTRANS WORK,公式通販【TRANS WORK】,0,8,2,camera_dev_10031,swallow70b,calm7b,test
2,TRANS WORK／公式通販,TRANS WORKの公式通販サイト,公式通販【TRANS WORK】,5,5,0,camera_dev_10031,swallow8b,calm7b,test
3,TRANS WORK／公式通販,TRANS WORKの公式通販サイト,公式通販ならTRANS WORK,2,7,1,camera_dev_10031,swallow8b,swallow70b,test
4,本当に必要な人材の獲得に向けて,必要な人材確保へ,優秀な人材を確実に獲得,2,6,2,camera_dev_10052,human,calm22b,train
5,本当に必要な人材の獲得に向けて,本物の人材を獲得するために,優秀な人材を確実に獲得,5,5,0,camera_dev_10052,swallow70b,calm22b,train
6,本当に必要な人材の獲得に向けて,本物の人材を獲得するために,必要な人材確保へ,3,6,1,camera_dev_10052,swallow70b,human,train
7,美瑛の温泉の宿予約,【美瑛の温泉】宿予約,【美瑛の温泉宿】予約,4,4,2,camera_dev_10058,swallow70b,calm22b,valid
8,美瑛の温泉の宿予約,【美瑛の温泉】宿予約,【美瑛の温泉宿】予約,2,7,1,camera_dev_10058,swallow8b,calm22b,valid
9,IT・Web業界のための転職サイト,IT・Web業界専用転職サイト,IT・Web業界特化の転職サイト,3,4,3,camera_dev_10062,human,calm22b,train
10,(仮称)新川崎駅前プロジェクト,【新川崎駅前】プロジェクト,新川崎駅前プロジェクト(仮称),5,2,3,camera_dev_10070,swallow70b,human,train
11,【鶴瀬】エステサロンを予約,鶴瀬のエステサロンを予約,【鶴瀬】でエステサロン予約,2,7,1,camera_dev_10073,calm7b,calm22b,train
12,【鶴瀬】エステサロンを予約,【予約】鶴瀬のエステサロン,【鶴瀬】でエステサロン予約,5,3,2,camera_dev_10073,swallow70b,calm22b,train
13,【鶴瀬】エステサロンを予約,【予約】鶴瀬のエステサロン,鶴瀬のエステサロンを予約,6,3,1,camera_dev_10073,swallow70b,calm7b,train
14,アイフルの在籍確認について,アイフルの在籍確認を今すぐ行う,【在籍確認】アイフル,3,6,1,camera_dev_1007,swallow70b,human,train
15,借りやすいキャッシング人気５選,借りやすいキャッシング人気5社,借りやすいキャッシング人気5選,2,3,5,camera_dev_10089,swallow8b,calm7b,train
16,ゲームプログラミング高校,ゲーム開発のスキルを学べる高校,ゲーム開発が学べる高校,6,4,0,camera_dev_10098,swallow8b,calm22b,train
17,【東大和市でおすすめ】美容院,東大和市でおすすめの美容院,おすすめ美容院＠東大和市,2,6,2,camera_dev_1011,swallow70b,calm22b,train
18,【真岡のヘッドスパを予約】,【予約】真岡のヘッドスパ,と痛テ真管ニもまんますく,8,0,2,camera_dev_10132,swallow70b,human,train
19,【公式】栄美容クリニック津,津の【公式】栄美容クリニック,栄美容クリニック津【公式】,0,8,2,camera_dev_10155,swallow70b,human,train
20,日本薬科大学 チャレンジ選抜,日本薬科大学【チャレンジ選抜】,日本薬科大 挑戦選抜,7,2,1,camera_dev_10169,swallow70b,calm22b,train
21,パールプラス日田店,【パールプラス】日田店,日田店：パールプラス,8,1,1,camera_dev_10177,human,calm22b,train
