id,ad1,ad2,source_ad1,source_ad2,count.paraphrase,count.nonparaphrase,count.preference_ad1,count.preference_ad2,count.preference_skip
0,モアムー 美容室,モアムー【美容室】,camera_dev_10000,calm22b,4,1,5,2,3
1,草刈り 業者業界No.1チェーン,業界No.1、草刈り業者チェーン,camera_dev_1000,calm7b,5,0,1,6,3
2,草刈り 業者業界No.1チェーン,草刈り最大手業者,camera_dev_1000,human,3,2,10,0,0
3,公式,公式アカウント ギフト券,camera_dev_10014,calm7b,0,5,0,0,0
4,公式,公式サイト,camera_dev_10014,swallow70b,1,4,0,0,0
5,セレスト 千歳烏山店,千歳烏山の美容室、セレスト。,camera_dev_10017,calm7b,5,0,8,1,1
6,セレスト 千歳烏山店,千歳烏山のセレストで美容院探し,camera_dev_10017,swallow8b,0,5,0,0,0
7,【王子】マッサージサロンを予約,王子御執務の整体院を予約,camera_dev_10018,calm22b,0,5,0,0,0
8,【王子】マッサージサロンを予約,王子で【予約】マッサージサロン,camera_dev_10018,swallow70b,5,0,7,1,2
9,【公式】資金調達クラウド,資金調達クラウド【公式】,camera_dev_10023,calm22b,5,0,6,2,2
10,TRANS WORK／公式通販,公式通販【TRANS WORK】,camera_dev_10031,calm7b,5,0,4,5,1
11,TRANS WORK／公式通販,公式通販ならTRANS WORK,camera_dev_10031,swallow70b,5,0,8,1,1
12,TRANS WORK／公式通販,TRANS WORKの公式通販サイト,camera_dev_10031,swallow8b,4,1,5,4,1
13,こたつ布団正方形,正方形のこたつ布団,camera_dev_10034,swallow70b,5,0,1,9,0
14,本当に必要な人材の獲得に向けて,優秀な人材を確実に獲得,camera_dev_10052,calm22b,3,2,5,4,1
15,本当に必要な人材の獲得に向けて,必要な人材確保へ,camera_dev_10052,human,5,0,3,6,1
16,本当に必要な人材の獲得に向けて,本物の人材を獲得するために,camera_dev_10052,swallow70b,3,2,5,4,1
17,美瑛の温泉の宿予約,【美瑛の温泉宿】予約,camera_dev_10058,calm22b,5,0,1,9,0
18,美瑛の温泉の宿予約,【美瑛の温泉】宿予約,camera_dev_10058,swallow70b,5,0,0,8,2
19,美瑛の温泉の宿予約,【美瑛の温泉】宿予約,camera_dev_10058,swallow8b,5,0,0,10,0
20,エミュー 美容室,エミューで美髪ケア,camera_dev_10060,calm22b,2,3,0,0,0
21,エミュー 美容室,おすすめ美容室、emu。,camera_dev_10060,calm7b,1,4,0,0,0
22,IT・Web業界のための転職サイト,IT・Web業界特化の転職サイト,camera_dev_10062,calm22b,4,1,4,2,4
23,IT・Web業界のための転職サイト,業界特化型転職支援サービス,camera_dev_10062,calm7b,1,4,0,0,0
24,IT・Web業界のための転職サイト,IT・Web業界専用転職サイト,camera_dev_10062,human,5,0,6,3,1
25,(仮称)新川崎駅前プロジェクト,新川崎駅前NEWプロジェクト,camera_dev_10070,calm22b,1,4,0,0,0
26,(仮称)新川崎駅前プロジェクト,新川崎駅前プロジェクト(仮称),camera_dev_10070,human,4,1,4,4,2
27,(仮称)新川崎駅前プロジェクト,【新川崎駅前】プロジェクト,camera_dev_10070,swallow70b,3,2,3,5,2
